KREG,category,year,value
1002000,HAUS,2016,1445.15899
1003000,HAUS,2016,1468.630137
1051000,HAUS,2016,1495.042254
1053000,HAUS,2016,1638.341924
1054000,HAUS,2016,1328.98812
1055000,HAUS,2016,1363.264605
1056000,HAUS,2016,1707.874193
1057000,HAUS,2016,1409.611111
1058000,HAUS,2016,1481.771881
1059000,HAUS,2016,1389.967766
1060000,HAUS,2016,1628.092166
1061000,HAUS,2016,1588.02439
1062000,HAUS,2016,1573.836436
2000000,HAUS,2016,1460.775637
3101000,HAUS,2016,1501.522659
3103000,HAUS,2016,1770.172662
3151000,HAUS,2016,1870.363144
3152000,HAUS,2016,1358.046133
3153000,HAUS,2016,1479.849057
3154000,HAUS,2016,1782.509804
3155000,HAUS,2016,1275.285714
3156000,HAUS,2016,1475.86
3157000,HAUS,2016,1696.116883
3158000,HAUS,2016,1613.267035
3241000,HAUS,2016,1530.060359
3251000,HAUS,2016,1775.757764
3252000,HAUS,2016,1452.707617
3254000,HAUS,2016,1456.519894
3255000,HAUS,2016,1519.957447
3256000,HAUS,2016,1869.234375
3257000,HAUS,2016,1606.670103
3351000,HAUS,2016,1449.851852
3352000,HAUS,2016,1733.806167
3353000,HAUS,2016,1871.748092
3354000,HAUS,2016,1454.567164
3355000,HAUS,2016,1519.164179
3356000,HAUS,2016,1604.086331
3357000,HAUS,2016,1712.613757
3358000,HAUS,2016,1735.031847
3359000,HAUS,2016,1794.981818
3360000,HAUS,2016,1510.742857
3361000,HAUS,2016,1558.070175
3403000,HAUS,2016,1433.469933
3404000,HAUS,2016,1391.547672
3451000,HAUS,2016,1382.32853
3452000,HAUS,2016,1608.202703
3453000,HAUS,2016,1898.830409
3454000,HAUS,2016,1746.926694
3455000,HAUS,2016,1431.294606
3456000,HAUS,2016,1700.367089
3457000,HAUS,2016,1637.619753
3458000,HAUS,2016,1701.986577
3459000,HAUS,2016,1539.171961
3460000,HAUS,2016,1696.996885
3461000,HAUS,2016,1793.232323
3462000,HAUS,2016,1538.47619
4011000,HAUS,2016,1506.325416
4012000,HAUS,2016,1734.188976
5111000,HAUS,2016,1509.242292
