category,reason,year,value
Einschränkung der Erwerbstätigkeit,Kinderbetreuung und Pflege,2006,0.171
Einschränkung der Erwerbstätigkeit,Kinderbetreuung und Pflege,2007,0.188
Einschränkung der Erwerbstätigkeit,Kinderbetreuung und Pflege,2008,0.222
Einschränkung der Erwerbstätigkeit,Kinderbetreuung und Pflege,2009,0.23
Einschränkung der Erwerbstätigkeit,Kinderbetreuung und Pflege,2010,0.242
Einschränkung der Erwerbstätigkeit,Kinderbetreuung und Pflege,2011,0.233
Einschränkung der Erwerbstätigkeit,Kinderbetreuung und Pflege,2012,0.23
Einschränkung der Erwerbstätigkeit,Kinderbetreuung,2013,0.209
Einschränkung der Erwerbstätigkeit,Pflege,2013,0.026
Einschränkung der Erwerbstätigkeit,Kinderbetreuung,2014,0.22
Einschränkung der Erwerbstätigkeit,Pflege,2014,0.017
Aufgabe der Erwerbstätigkeit,Kinderbetreuung und Pflege,2006,0.081
Aufgabe der Erwerbstätigkeit,Kinderbetreuung und Pflege,2007,0.092
Aufgabe der Erwerbstätigkeit,Kinderbetreuung und Pflege,2008,0.091
Aufgabe der Erwerbstätigkeit,Kinderbetreuung und Pflege,2009,0.09
Aufgabe der Erwerbstätigkeit,Kinderbetreuung und Pflege,2010,0.092
Aufgabe der Erwerbstätigkeit,Kinderbetreuung und Pflege,2011,0.096
Aufgabe der Erwerbstätigkeit,Kinderbetreuung und Pflege,2012,0.126
Aufgabe der Erwerbstätigkeit,Kinderbetreuung,2013,0.106
Aufgabe der Erwerbstätigkeit,Pflege,2013,0.018
Aufgabe der Erwerbstätigkeit,Kinderbetreuung,2014,0.109
Aufgabe der Erwerbstätigkeit,Pflege,2014,0.013
